processor,node,bw
0-1-2-3,1,7635.425
0-1-2-3,2,8180.2
0-1-2-3,3,8246.575
0-1-2-3,4,9162.525000000001
0-1-2-3,5,9458.725
0-1-2-3,6,5217.95
0-1-2-3,7,6514.349999999999
0-1-2-4,1,11197.55
0-1-2-4,2,11709.675
0-1-2-4,3,14868.95
0-1-2-4,4,14864.925000000001
0-1-2-4,5,11023.625
0-1-2-4,6,8043.375
0-1-2-4,7,7949.775
0-1-2-5,1,11045.375
0-1-2-5,2,11901.9
0-1-2-5,3,14637.149999999998
0-1-2-5,4,11938.925
0-1-2-5,5,11833.05
0-1-2-5,6,9119.25
0-1-2-5,7,8911.525
0-1-2-6,1,9827.3
0-1-2-6,2,11579.175
0-1-2-6,3,13318.275
0-1-2-6,4,15979.449999999999
0-1-2-6,5,12006.225
0-1-2-6,6,8526.025000000001
0-1-2-6,7,9613.2
0-1-2-7,1,10116.274999999998
0-1-2-7,2,11545.5
0-1-2-7,3,12302.199999999999
0-1-2-7,4,12562.75
0-1-2-7,5,13809.75
0-1-2-7,6,9289.675
0-1-2-7,7,8544.475
0-1-3-4,1,11313.050000000001
0-1-3-4,2,12620.45
0-1-3-4,3,11601.35
0-1-3-4,4,12138.65
0-1-3-4,5,11270.900000000001
0-1-3-4,6,7727.25
0-1-3-4,7,7872.325000000001
0-1-3-5,1,10820.5
0-1-3-5,2,11392.45
0-1-3-5,3,12198.95
0-1-3-5,4,9793.725
0-1-3-5,5,10505.75
0-1-3-5,6,8922.425000000001
0-1-3-5,7,8696.325
0-1-3-6,1,10810.225
0-1-3-6,2,12718.675
0-1-3-6,3,12252.724999999999
0-1-3-6,4,14728.900000000001
0-1-3-6,5,12630.525
0-1-3-6,6,8331.25
0-1-3-6,7,9372.675
0-1-3-7,1,9522.074999999999
0-1-3-7,2,11937.149999999998
0-1-3-7,3,10706.625
0-1-3-7,4,12151.5
0-1-3-7,5,13776.15
0-1-3-7,6,9265.974999999999
0-1-3-7,7,8356.875
0-1-4-5,1,8117.5
0-1-4-5,2,9434.3
0-1-4-5,3,8902.875
0-1-4-5,4,8215.45
0-1-4-5,5,7947.25
0-1-4-5,6,8362.75
0-1-4-5,7,7505.8
0-1-4-6,1,11191.95
0-1-4-6,2,13399.325
0-1-4-6,3,14931.550000000001
0-1-4-6,4,15366.999999999998
0-1-4-6,5,10133.1
0-1-4-6,6,8522.900000000001
0-1-4-6,7,8627.9
0-1-4-7,1,10909.974999999999
0-1-4-7,2,13552.350000000002
0-1-4-7,3,14288.325
0-1-4-7,4,12757.95
0-1-4-7,5,11220.325
0-1-4-7,6,9327.5
0-1-4-7,7,7585.775
0-1-5-6,1,10600.35
0-1-5-6,2,13989.525
0-1-5-6,3,13950.9
0-1-5-6,4,12484.900000000001
0-1-5-6,5,11026.825
0-1-5-6,6,7971.325
0-1-5-6,7,9623.025
0-1-5-7,1,10208.375
0-1-5-7,2,12882.1
0-1-5-7,3,12285.775
0-1-5-7,4,9416.099999999999
0-1-5-7,5,10846.275
0-1-5-7,6,8735.65
0-1-5-7,7,7879.025000000001
0-1-6-7,1,8393.125
0-1-6-7,2,12592.5
0-1-6-7,3,12304.324999999999
0-1-6-7,4,8559.699999999999
0-1-6-7,5,7862.75
0-1-6-7,6,8414.55
0-1-6-7,7,8513.15
0-2-3-4,1,8872.95
0-2-3-4,2,8318.300000000001
0-2-3-4,3,8261.150000000001
0-2-3-4,4,9353.25
0-2-3-4,5,9233.55
0-2-3-4,6,8941.275
0-2-3-4,7,9090.35
0-2-3-5,1,8853.0
0-2-3-5,2,8146.675
0-2-3-5,3,8166.375
0-2-3-5,4,8924.525000000001
0-2-3-5,5,8895.625
0-2-3-5,6,9231.5
0-2-3-5,7,8762.05
0-2-3-6,1,7820.3
0-2-3-6,2,8401.375
0-2-3-6,3,8192.2
0-2-3-6,4,9303.175
0-2-3-6,5,9181.075
0-2-3-6,6,8011.625
0-2-3-6,7,8670.825
0-2-3-7,1,8364.975
0-2-3-7,2,7816.95
0-2-3-7,3,7668.25
0-2-3-7,4,8036.375
0-2-3-7,5,8502.525
0-2-3-7,6,9226.349999999999
0-2-3-7,7,8301.6
0-2-4-5,1,8564.65
0-2-4-5,2,8598.224999999999
0-2-4-5,3,8389.074999999999
0-2-4-5,4,8158.0
0-2-4-5,5,8182.925
0-2-4-5,6,9244.6
0-2-4-5,7,9107.65
0-2-4-6,1,11962.875
0-2-4-6,2,13686.350000000002
0-2-4-6,3,13033.449999999999
0-2-4-6,4,15386.349999999999
0-2-4-6,5,12511.974999999999
0-2-4-6,6,14074.35
0-2-4-6,7,11199.75
0-2-4-7,1,13358.1
0-2-4-7,2,15927.775000000001
0-2-4-7,3,14037.925
0-2-4-7,4,14253.675000000001
0-2-4-7,5,13677.349999999999
0-2-4-7,6,15975.4
0-2-4-7,7,10886.975
0-2-5-6,1,10466.224999999999
0-2-5-6,2,12945.625000000002
0-2-5-6,3,12762.000000000002
0-2-5-6,4,12418.025
0-2-5-6,5,12244.1
0-2-5-6,6,14293.6
0-2-5-6,7,14414.224999999999
0-2-5-7,1,12005.574999999999
0-2-5-7,2,14069.6
0-2-5-7,3,13218.25
0-2-5-7,4,10493.449999999999
0-2-5-7,5,12411.849999999999
0-2-5-7,6,13205.775000000001
0-2-5-7,7,10878.7
0-2-6-7,1,9351.175
0-2-6-7,2,14966.2
0-2-6-7,3,10542.475
0-2-6-7,4,8379.224999999999
0-2-6-7,5,9057.625
0-2-6-7,6,12334.425000000001
0-2-6-7,7,12448.6
0-3-4-5,1,8649.0
0-3-4-5,2,7694.675
0-3-4-5,3,7424.525
0-3-4-5,4,8007.425
0-3-4-5,5,8024.1
0-3-4-5,6,8910.525000000001
0-3-4-5,7,8769.125
0-3-4-6,1,11541.5
0-3-4-6,2,11444.0
0-3-4-6,3,11321.7
0-3-4-6,4,13645.075
0-3-4-6,5,12195.525
0-3-4-6,6,12866.749999999998
0-3-4-6,7,9624.375
0-3-4-7,1,11980.3
0-3-4-7,2,12283.025
0-3-4-7,3,11756.45
0-3-4-7,4,12736.074999999999
0-3-4-7,5,13950.975
0-3-4-7,6,14155.85
0-3-4-7,7,10751.375
0-3-5-6,1,10818.425
0-3-5-6,2,10899.974999999999
0-3-5-6,3,10666.425
0-3-5-6,4,11673.925000000001
0-3-5-6,5,11447.625
0-3-5-6,6,12619.05
0-3-5-6,7,11815.875
0-3-5-7,1,10769.45
0-3-5-7,2,10936.7
0-3-5-7,3,10672.95
0-3-5-7,4,9519.575
0-3-5-7,5,10146.775
0-3-5-7,6,13134.375
0-3-5-7,7,10427.875
0-3-6-7,1,9226.875
0-3-6-7,2,12052.225
0-3-6-7,3,10552.8
0-3-6-7,4,7994.25
0-3-6-7,5,9129.575
0-3-6-7,6,11424.45
0-3-6-7,7,12149.45
0-4-5-6,1,8555.775
0-4-5-6,2,9365.05
0-4-5-6,3,9381.25
0-4-5-6,4,8312.625
0-4-5-6,5,8078.3
0-4-5-6,6,9386.2
0-4-5-6,7,9220.275
0-4-5-7,1,8435.725
0-4-5-7,2,9439.775
0-4-5-7,3,8919.1
0-4-5-7,4,7229.9
0-4-5-7,5,8182.875
0-4-5-7,6,8795.475
0-4-5-7,7,8641.475
0-4-6-7,1,9441.875
0-4-6-7,2,15007.575
0-4-6-7,3,13472.074999999999
0-4-6-7,4,9459.425
0-4-6-7,5,9037.0
0-4-6-7,6,11830.625
0-4-6-7,7,10302.575
0-5-6-7,1,9294.05
0-5-6-7,2,13767.275
0-5-6-7,3,13177.349999999999
0-5-6-7,4,9064.75
0-5-6-7,5,9360.475
0-5-6-7,6,10777.325
0-5-6-7,7,11280.399999999998
1-2-3-4,1,8372.275000000001
1-2-3-4,2,9037.525
1-2-3-4,3,9230.1
1-2-3-4,4,9163.125
1-2-3-4,5,9078.85
1-2-3-4,6,7851.974999999999
1-2-3-4,7,8802.25
1-2-3-5,1,8123.725
1-2-3-5,2,8895.425
1-2-3-5,3,8953.375
1-2-3-5,4,8895.075
1-2-3-5,5,8807.925
1-2-3-5,6,9085.85
1-2-3-5,7,9293.55
1-2-3-6,1,7678.799999999999
1-2-3-6,2,9279.475
1-2-3-6,3,9358.45
1-2-3-6,4,9041.224999999999
1-2-3-6,5,9506.25
1-2-3-6,6,7320.749999999999
1-2-3-6,7,8928.474999999999
1-2-3-7,1,7925.575000000001
1-2-3-7,2,8245.575
1-2-3-7,3,8595.275
1-2-3-7,4,7978.474999999999
1-2-3-7,5,8611.5
1-2-3-7,6,8922.625
1-2-3-7,7,9250.15
1-2-4-5,1,7700.175
1-2-4-5,2,8781.775000000001
1-2-4-5,3,9136.800000000001
1-2-4-5,4,9098.65
1-2-4-5,5,9130.025
1-2-4-5,6,9259.775
1-2-4-5,7,8811.575
1-2-4-6,1,11392.525
1-2-4-6,2,15064.425
1-2-4-6,3,15529.025000000001
1-2-4-6,4,17098.75
1-2-4-6,5,12816.449999999999
1-2-4-6,6,11795.599999999999
1-2-4-6,7,12785.275000000001
1-2-4-7,1,10805.650000000001
1-2-4-7,2,14186.725
1-2-4-7,3,15057.675000000001
1-2-4-7,4,14341.400000000001
1-2-4-7,5,15098.75
1-2-4-7,6,14942.974999999999
1-2-4-7,7,13964.800000000001
1-2-5-6,1,10801.575
1-2-5-6,2,14052.0
1-2-5-6,3,14209.975000000002
1-2-5-6,4,14405.274999999998
1-2-5-6,5,13704.425
1-2-5-6,6,12810.375
1-2-5-6,7,14689.975
1-2-5-7,1,10249.2
1-2-5-7,2,12319.3
1-2-5-7,3,11182.65
1-2-5-7,4,10841.525000000001
1-2-5-7,5,11344.675000000001
1-2-5-7,6,13074.7
1-2-5-7,7,13444.474999999999
1-2-6-7,1,8879.65
1-2-6-7,2,13532.05
1-2-6-7,3,11342.425
1-2-6-7,4,8595.475
1-2-6-7,5,8708.275000000001
1-2-6-7,6,13054.399999999998
1-2-6-7,7,14305.45
1-3-4-5,1,8498.375
1-3-4-5,2,8976.025
1-3-4-5,3,8719.0
1-3-4-5,4,9023.875
1-3-4-5,5,8925.475
1-3-4-5,6,9064.475000000002
1-3-4-5,7,8988.949999999999
1-3-4-6,1,12622.6
1-3-4-6,2,14646.55
1-3-4-6,3,14324.100000000002
1-3-4-6,4,14757.05
1-3-4-6,5,13525.150000000001
1-3-4-6,6,10950.625
1-3-4-6,7,10895.325
1-3-4-7,1,11307.575
1-3-4-7,2,12682.975
1-3-4-7,3,12463.9
1-3-4-7,4,11552.699999999999
1-3-4-7,5,12700.025
1-3-4-7,6,13961.500000000002
1-3-4-7,7,13354.625
1-3-5-6,1,11714.75
1-3-5-6,2,13719.75
1-3-5-6,3,13616.675
1-3-5-6,4,13672.774999999998
1-3-5-6,5,13189.2
1-3-5-6,6,11947.775
1-3-5-6,7,13447.775000000001
1-3-5-7,1,9796.525000000001
1-3-5-7,2,10567.025
1-3-5-7,3,10261.8
1-3-5-7,4,9370.725
1-3-5-7,5,9870.35
1-3-5-7,6,12355.5
1-3-5-7,7,11466.5
1-3-6-7,1,9022.099999999999
1-3-6-7,2,12462.625
1-3-6-7,3,12496.9
1-3-6-7,4,8171.950000000001
1-3-6-7,5,8908.125
1-3-6-7,6,12296.725
1-3-6-7,7,13262.975
1-4-5-6,1,7054.95
1-4-5-6,2,9393.025
1-4-5-6,3,9397.175
1-4-5-6,4,9355.599999999999
1-4-5-6,5,9066.375
1-4-5-6,6,9345.574999999999
1-4-5-6,7,9118.4
1-4-5-7,1,8567.900000000001
1-4-5-7,2,9332.625
1-4-5-7,3,9081.475
1-4-5-7,4,7876.5
1-4-5-7,5,9369.95
1-4-5-7,6,9395.1
1-4-5-7,7,8699.625
1-4-6-7,1,8835.525
1-4-6-7,2,15047.875
1-4-6-7,3,14954.8
1-4-6-7,4,9449.75
1-4-6-7,5,9114.724999999999
1-4-6-7,6,12864.65
1-4-6-7,7,13718.725
1-5-6-7,1,8752.2
1-5-6-7,2,14149.849999999999
1-5-6-7,3,13765.325
1-5-6-7,4,9217.45
1-5-6-7,5,9095.25
1-5-6-7,6,12463.375
1-5-6-7,7,14026.2
2-3-4-5,1,5758.424999999999
2-3-4-5,2,5654.65
2-3-4-5,3,5582.9
2-3-4-5,4,5893.35
2-3-4-5,5,5747.6
2-3-4-5,6,6702.225
2-3-4-5,7,7461.05
2-3-4-6,1,7415.15
2-3-4-6,2,8127.299999999999
2-3-4-6,3,8024.424999999999
2-3-4-6,4,8332.05
2-3-4-6,5,7840.25
2-3-4-6,6,9142.075
2-3-4-6,7,7964.875
2-3-4-7,1,7991.5
2-3-4-7,2,8428.425
2-3-4-7,3,8147.849999999999
2-3-4-7,4,8088.299999999999
2-3-4-7,5,8236.55
2-3-4-7,6,9297.9
2-3-4-7,7,9326.175
2-3-5-6,1,7367.900000000001
2-3-5-6,2,7757.075000000001
2-3-5-6,3,7668.174999999999
2-3-5-6,4,7961.949999999999
2-3-5-6,5,7759.7
2-3-5-6,6,9115.725
2-3-5-6,7,9204.375
2-3-5-7,1,7872.575
2-3-5-7,2,8218.224999999999
2-3-5-7,3,7827.1
2-3-5-7,4,7627.75
2-3-5-7,5,8073.975
2-3-5-7,6,9201.4
2-3-5-7,7,9334.4
2-3-6-7,1,7081.65
2-3-6-7,2,8254.974999999999
2-3-6-7,3,7759.6
2-3-6-7,4,7238.825000000001
2-3-6-7,5,7749.575
2-3-6-7,6,8887.025
2-3-6-7,7,8840.075
2-4-5-6,1,8618.825
2-4-5-6,2,8504.4
2-4-5-6,3,9007.4
2-4-5-6,4,9162.15
2-4-5-6,5,8944.4
2-4-5-6,6,9154.0
2-4-5-6,7,9110.775000000001
2-4-5-7,1,8017.325
2-4-5-7,2,9097.224999999999
2-4-5-7,3,9330.275000000001
2-4-5-7,4,8061.424999999999
2-4-5-7,5,9219.05
2-4-5-7,6,9126.475
2-4-5-7,7,8630.575
2-4-6-7,1,9353.5
2-4-6-7,2,14298.625
2-4-6-7,3,11064.375
2-4-6-7,4,9430.724999999999
2-4-6-7,5,9601.25
2-4-6-7,6,14459.65
2-4-6-7,7,12880.7
2-5-6-7,1,9260.85
2-5-6-7,2,13245.599999999999
2-5-6-7,3,11332.925
2-5-6-7,4,9422.3
2-5-6-7,5,9492.0
2-5-6-7,6,13042.75
2-5-6-7,7,13250.375
3-4-5-6,1,7913.599999999999
3-4-5-6,2,7564.725
3-4-5-6,3,7125.55
3-4-5-6,4,7778.4
3-4-5-6,5,7681.775
3-4-5-6,6,8677.0
3-4-5-6,7,8732.875
3-4-5-7,1,8239.025000000001
3-4-5-7,2,8954.8
3-4-5-7,3,8292.2
3-4-5-7,4,7350.474999999999
3-4-5-7,5,8877.3
3-4-5-7,6,9049.025
3-4-5-7,7,8418.650000000001
3-4-6-7,1,9049.4
3-4-6-7,2,12686.849999999999
3-4-6-7,3,11867.225
3-4-6-7,4,9388.875
3-4-6-7,5,9518.925
3-4-6-7,6,13281.975
3-4-6-7,7,11935.949999999999
3-5-6-7,1,8850.075
3-5-6-7,2,12308.9
3-5-6-7,3,11545.25
3-5-6-7,4,9296.175
3-5-6-7,5,8884.125
3-5-6-7,6,12700.6
3-5-6-7,7,13003.75
4-5-6-7,1,6284.25
4-5-6-7,2,8298.125
4-5-6-7,3,8833.25
4-5-6-7,4,8045.775
4-5-6-7,5,9330.825
4-5-6-7,6,7799.175
4-5-6-7,7,7136.0
